abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,Primary Care,Home,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Champaign,Non-rural,,,"$299,602",Illinois,University of Illinois Urbana-Champaign,"Morrow, Daniel",https://healthit.ahrq.gov/ahrq-funded-projects/collaborative-patient-portals-computer-based-agents-and-patients-understanding,Ongoing,Adults;Elderly,Patient Portals,Collaborative Patient Portals: Computer-based Agents and Patients: Understanding (Illinois)
,Primary Care;Specialty Care,Academic Medical Center;Ambulatory;Inpatient,AHRQ Health Services Research Demonstration and Dissemination Grants (R18),Albuquerque,Non-rural,,,"$378,622",New Mexico,University of New Mexico,"Kroth, Philip",https://healthit.ahrq.gov/ahrq-funded-projects/minimizing-stress-maximizing-success-physicians-use-health-information,Ongoing,Adults,Electronic Medical Record (EMR)/Electronic Health Record (EHR),"Minimizing Stress, Maximizing Success of Physician's Use of Health Information (New Mexico)"
,Care Coordination,Ambulatory;Veteran Affairs Medical Center,AHRQ Grants for Health Services Research Dissertation (R36),Salt Lake City,Non-rural,,,"$21,160",Utah,University of Utah,"Islam, Roosan",https://healthit.ahrq.gov/ahrq-funded-projects/understanding-complex-clinical-decision-tasks-better-health-information,Ongoing,Adults,Clinical Decision Support (CDS) System,Understanding Complex Clinical Decision Tasks for Better Health Information Technology System Design (Utah)
,Chronic Disease Management;Prevention;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),East Lansing,Non-rural;Rural,,,"$100,000",Michigan,Michigan State University,"Corser, William",https://healthit.ahrq.gov/ahrq-funded-projects/effect-electronic-health-record-use-preventive-screening-comorbid-medicaid-adults,Ongoing,Chronic Care;Low-SES/Low Income;Medicaid,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Effect of Electronic Health Record Use on Preventive Screening for Comorbid Medicaid Adults (Michigan)
,Specialty Care,Ambulatory;Specialty Practice,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Madison,Non-rural,,,"$299,224",Wisconsin,University of Wisconsin - Madison,"Kent, K Craig",https://healthit.ahrq.gov/ahrq-funded-projects/patient-centered-postoperative-wound-surveillance-using-current-technology,Ongoing,Adults,Mobile Phone;Telehealth Technology,Patient-Centered Postoperative Wound Surveillance Using Current Technology (Wisconsin)
,Acute Care;Improving Care Across Transitions of Care,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Inpatient,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Boston,Non-rural,,,"$295,967",Massachusetts,Brigham and Women's Hospital,"Lacson, Ronilda",https://healthit.ahrq.gov/ahrq-funded-projects/automated-notification-follow-testing-recommendations-across-care-settings,Ongoing,Adults,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE),Automated Notification for Follow-Up Testing Recommendations Across Care Settings (Massachusetts)
,Acute Care;Care Planning,Inpatient,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Seattle,Non-rural,,,"$2,280,239",Washington,University of Washington,"Pratt, Wanda",https://healthit.ahrq.gov/ahrq-funded-projects/patients-safeguards-understanding-information-needs-hospitalized-patients,Ongoing,Adults;Pediatric,Consumer Informatics,Patients as Safeguards: Understanding the Information Needs of Hospitalized Patients (Washington)
,Patient Education;Prevention,Academic Medical Center;Ambulatory;Community Health Center;Specialty Practice,AHRQ Health Services Research Projects (R01),New York,Non-rural,,,"$998,401",New York,Columbia University,"Stockwell, Melissa S.",https://healthit.ahrq.gov/ahrq-funded-projects/prsim-personalized-reminders-immunizations-using-short-messaging-systems,Ongoing,Inner City;Pediatric;Teenagers,Short Message System (SMS),PRSIM: Personalized Reminders for Immunizations using Short Messaging Systems (New York)
,Care Planning;Improving Care Across Transitions of Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Buffalo,Non-rural,,,"$298,934",New York,State University of New York at Buffalo,"Hewner, Sharon",https://healthit.ahrq.gov/ahrq-funded-projects/coordinating-transitions-health-information-technology-role-improving-multiple-chronic-disease-outcomes,Ongoing,Adults;Chronic Care;Medicaid,Automated Extraction System/Algorithm;Data Warehouse/Data Repository;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Coordinating Transitions: Health Information Technology Role in Improving Multiple Chronic Disease Outcomes (New York)
,Specialty Care,Ambulatory;Specialty Practice,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),East Lansing,Non-rural;Rural,,,"$299,056",Michigan,Michigan State University,"Juckett, David",https://healthit.ahrq.gov/ahrq-funded-projects/phenotype-modeling-and-outcome-mapping-pain-management-decision-support,Ongoing,Adults,Clinical Decision Support (CDS) System;Natural Language Processing,Phenotype Modeling and Outcome Mapping for Pain Management Decision Support (Michigan)
,Specialty Care,Ambulatory;Specialty Practice,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Atlanta,Non-rural,,,"$299,876",Georgia,Georgia State University,"Cohen, Lindsey",https://healthit.ahrq.gov/ahrq-funded-projects/relieving-anxiety-children-undergoing-radiation-therapy-though-virtual-preparation,Ongoing,Cancer;Pediatric,Consumer Informatics,Relieving Anxiety in Children Undergoing Radiation Therapy through Virtual Preparation (Georgia)
,Chronic Disease Management;Improving Care Across Transitions of Care,Home,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Boston,Non-rural,,,"$299,999",Massachusetts,Boston Medical Center,"Mitchell, Suzanne",https://healthit.ahrq.gov/ahrq-funded-projects/treating-comorbid-depression-during-care-transitions-relational-agents,Ongoing,Chronic Care;Chronic Obstructive Pulmonary Disease (COPD);Congestive Heart Failure (CHF);Mental Health/Depression,Internet;Telehealth Technology,Treating Comorbid Depression During Care Transitions with Relational Agents (Massachusetts)
,Chronic Disease Management,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Seattle,Non-rural;Rural,,,"$1,488,746",Washington,Group Health Cooperative,"Ralston, James D.",https://healthit.ahrq.gov/ahrq-funded-projects/understanding-and-honoring-patients-multiple-chronic-conditions,Ongoing,Chronic Care;Coronary Artery Disease;Diabetes;Mental Health/Depression,Consumer Informatics,Understanding and Honoring Patients with Multiple Chronic Conditions (Washington)
,Acute Care;Medication Management,Inpatient,AHRQ Health Services Research Projects (R01),Boston,Non-rural,,,"$1,247,829",Massachusetts,Brigham and Women's Hospital,"Bates, David",https://healthit.ahrq.gov/ahrq-funded-projects/ensuring-safe-performance-electronic-health-records,Ongoing,General,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Ensuring Safe Performance of Electronic Health Records (Massachusetts)
,Chronic Disease Management;Specialty Care,Ambulatory;Inpatient;Specialty Practice,Understanding Clinical Information Needs and Health Care Decision Making Processes in the Context of Health IT (R01),Omaha,Non-rural;Rural,,,"$2,426,131",Nebraska,University of Nebraska Medical Center,"Windle, John",https://healthit.ahrq.gov/ahrq-funded-projects/optimizing-electronic-health-record-cardiac-care,Ongoing,Chronic Care;Congestive Heart Failure (CHF);Coronary Artery Disease,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Optimizing the Electronic Health Record for Cardiac Care (Nebraska)
,Patient Education,Home,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Detroit,Non-rural;Rural,,,"$1,833,605",Michigan,Wayne State University,"Thompson, Hayley S.",https://healthit.ahrq.gov/ahrq-funded-projects/ehealth-activity-among-african-american-and-white-cancer-survivors,Ongoing,Adults;Cancer;Cancer: Breast;Cancer: Colon;Cancer: Prostate;Racial/Ethnic Minorities;Racial/Ethnic Minorities: African American,Consumer Informatics,eHealth Activity Among African-American and White Cancer Survivors (Michigan)
,Medication Management,Inpatient,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Bronx,Non-rural,,,"$293,130",New York,Albert Einstein College of Medicine,"Adelman, Jason Stuart",https://healthit.ahrq.gov/ahrq-funded-projects/assess-risk-wrong-patient-errors-emr-allows-multiple-records-open,Ongoing,Adults,Computerized Provider Order Entry (CPOE),Assess Risk of Wrong Patient Errors in an EMR That Allows Multiple Records Open (New York)
,,,AHRQ Grant Program for Large Conference Support (R13) and (U13),Bethesda,,,,"$70,000",Maryland,American Medical Informatics Association,"Fridsma, Douglas Brian",https://healthit.ahrq.gov/ahrq-funded-projects/american-medical-informatics-association-health-policy-conference,Ongoing,,,American Medical Informatics Association Health Policy Conference (Maryland)
,Medication Management;Prevention;Primary Care,Ambulatory;Primary Care,Disseminating and Implementing Evidence from Patient-centered Outcomes Research Using Mobile Health Technology (R21),Iowa City,Non-rural;Rural,,,"$298,089",Iowa,University of Iowa,"Chrischilles, Elizabeth",https://healthit.ahrq.gov/ahrq-funded-projects/design-and-testing-mobile-cardiovascular-risk-service-patient-partners,Ongoing,Chronic Care;Coronary Artery Disease;Racial/Ethnic Minorities;Stroke,Consumer Informatics;mHealth,Design and Testing of a Mobile Cardiovascular Risk Service With Patient Partners (Iowa)
,Chronic Disease Management,Ambulatory;Specialty Practice,Disseminating and Implementing Evidence from Patient-centered Outcomes Research Using Mobile Health Technology (R21),New York,Non-rural,,,"$298,483",New York,Columbia University,"Schnall, Rebecca",https://healthit.ahrq.gov/ahrq-funded-projects/use-mhealth-technology-supporting-symptom-management-underserved-persons-living,Ongoing,Chronic Care;HIV/AIDS;Low-SES/Low Income;Racial/Ethnic Minorities,Consumer Informatics;mHealth,Use of mHealth Technology for Supporting Symptom Management in Underserved Persons Living with HIV (New York)
,Chronic Disease Management,Ambulatory;Specialty Practice,Disseminating and Implementing Evidence from Patient-centered Outcomes Research Using Mobile Health Technology (R21),Richmond,Non-rural,,,"$298,784",Virginia,Virginia Commonwealth University,"Bajaj, Jasmohan S.",https://healthit.ahrq.gov/ahrq-funded-projects/use-patient-buddy-application-disseminate-knowledge-prevent-readmission,Ongoing,Chronic Care,Consumer Informatics;mHealth,Use of Patient Buddy™ Application to Disseminate Knowledge & Prevent Readmission (Virginia)
,Prevention,Ambulatory,Disseminating and Implementing Evidence from Patient-centered Outcomes Research Using Mobile Health Technology (R21),Boston,Non-rural,,,"$149,964",Massachusetts,Massachusetts General Hospital,"Oreskovic, Nicolas M.",https://healthit.ahrq.gov/ahrq-funded-projects/integrated-closed-loop-feedback-system-pediatric-cardiometabolic-disease,Ongoing,Pediatric,Clinical Decision Support (CDS) System;Consumer Informatics;Short Message System (SMS),An Integrated Closed-Loop Feedback System for Pediatric Cardiometabolic Disease  (Massachusetts)
,Care Coordination,Ambulatory;Community Health Center;Primary Care,Understanding Clinical Information Needs and Health Care Decision Making Processes in the Context of Health IT (R01),Portland,Non-rural;Rural,,,"$1,987,438",Oregon,Oregon Health and Science University,"Cohen, Deborah Jill",https://healthit.ahrq.gov/ahrq-funded-projects/clinical-information-needs-community-health-centers-health-information,Ongoing,Chronic Care;Low-SES/Low Income;Safety Net,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Clinical Information Needs of Community Health Centers for Health Information Technology  (Oregon)
,Other;(Consumer Health IT),Ambulatory,Disseminating and Implementing Evidence from Patient-centered Outcomes Research Using Mobile Health Technology (R21),New Haven,Non-rural,,,"$150,000",Connecticut,Yale University,"Abujarad, Fuad",https://healthit.ahrq.gov/ahrq-funded-projects/patient-centered-virtual-multimedia-interactive-informed-consent-vic,Ongoing,Adults,Consumer Informatics;Mobile Phone,Patient-Centered Virtual Multimedia Interactive Informed Consent (VIC) (Connecticut)
,Chronic Disease Management,Ambulatory;Primary Care,Disseminating and Implementing Evidence from Patient-centered Outcomes Research Using Mobile Health Technology (R21),Pittsburgh,Non-rural,,,"$298,972",Pennsylvania,RAND Corporation,"Rudin, Robert Samuel",https://healthit.ahrq.gov/ahrq-funded-projects/using-mhealth-and-patient-reported-outcomes-deliver-evidence-based-asthma-care,Ongoing,Asthma;Chronic Care,Consumer Informatics;mHealth,Using mHealth and Patient-Reported Outcomes to Deliver Evidence-Based Asthma Care  (Pennsylvania)
